Edge TPU Compiler version 16.0.384591198
Input: /vespai-params/yolov5s-all-data.tflite
Output: /vespai-params/yolov5s-all-data_edgetpu.tflite

Operator                       Count      Status

RESIZE_NEAREST_NEIGHBOR        2          Operation is working on an unsupported data type
STRIDED_SLICE                  9          Operation is working on an unsupported data type
CONV_2D                        60         Operation is working on an unsupported data type
MUL                            75         Operation is working on an unsupported data type
MAX_POOL_2D                    3          Operation is working on an unsupported data type
ADD                            10         Operation is working on an unsupported data type
RESHAPE                        6          Operation is working on an unsupported data type
PAD                            7          Operation is working on an unsupported data type
CONCATENATION                  17         Operation is working on an unsupported data type
LOGISTIC                       66         Operation is working on an unsupported data type
